MAL_ID,Name,Genres,Type,Rating,Popularity
33,Kenpuu Denki Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,R+ - Mild Nudity,301
43,Koukaku Kidoutai,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,R+ - Mild Nudity,265
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,R - 17+ (violence & profanity),637
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,PG-13 - Teens 13 or older,345
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"Samurai, Historical, Drama, Shounen",Movie,R - 17+ (violence & profanity),2411
47,Akira,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,R+ - Mild Nudity,197
48,.hack//Sign,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,PG-13 - Teens 13 or older,940
49,Aa! Megami-sama!,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,PG-13 - Teens 13 or older,2360
50,Aa! Megami-sama! (TV),"Comedy, Supernatural, Magic, Romance, Seinen",TV,PG-13 - Teens 13 or older,1083
51,Tenshi Kinryouku,"Action, Drama, Romance, Shoujo, Supernatural",OVA,R+ - Mild Nudity,2419
52,Kidou Tenshi Angelic Layer,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,PG-13 - Teens 13 or older,2232
53,Ai Yori Aoshi,"Harem, Slice of Life, Comedy, Drama, Romance",TV,PG-13 - Teens 13 or older,1465
54,Appleseed (Movie),"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,R - 17+ (violence & profanity),1901
55,Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,R - 17+ (violence & profanity),4259
56,Avenger,"Adventure, Fantasy, Sci-Fi, Shounen",TV,R - 17+ (violence & profanity),4073
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,R - 17+ (violence & profanity),570
58,Blue Gender,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,R+ - Mild Nudity,1886
59,Chobits,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,PG-13 - Teens 13 or older,332
60,Chrno Crusade,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,R - 17+ (violence & profanity),742
61,D.N.Angel,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,PG-13 - Teens 13 or older,891
62,D.C.: Da Capo,"Harem, Drama, Magic, Romance",TV,PG-13 - Teens 13 or older,1852
63,DearS,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,R+ - Mild Nudity,1146
64,Rozen Maiden,"Action, Comedy, Drama, Magic, Seinen",TV,PG-13 - Teens 13 or older,846
65,Rozen Maiden: Träumend,"Action, Comedy, Drama, Magic, Seinen",TV,PG-13 - Teens 13 or older,1479
66,Azumanga Daioh,"Slice of Life, Comedy, School",TV,PG-13 - Teens 13 or older,554
67,Basilisk: Kouga Ninpou Chou,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,R - 17+ (violence & profanity),940
68,Black Cat (TV),"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,PG-13 - Teens 13 or older,622
69,Cluster Edge,"Action, Fantasy, Military, Sci-Fi",TV,PG-13 - Teens 13 or older,5061
71,Full Metal Panic!,"Action, Military, Sci-Fi, Comedy, Mecha",TV,R - 17+ (violence & profanity),322
72,Full Metal Panic? Fumoffu,"Action, Comedy, School",TV,PG-13 - Teens 13 or older,571
73,Full Metal Panic! The Second Raid,"Action, Military, Mecha",TV,R - 17+ (violence & profanity),639
74,Gakuen Alice,"Comedy, School, Shoujo, Super Power",TV,G - All Ages,1640
75,Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Mecha, Military, Sci-Fi",TV,PG-13 - Teens 13 or older,2523
76,Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama, Magic, Super Power",TV,PG-13 - Teens 13 or older,1550
77,Mahou Shoujo Lyrical Nanoha A's,"Action, Comedy, Drama, Magic, Super Power",TV,PG-13 - Teens 13 or older,2075
79,Shuffle!,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,R+ - Mild Nudity,600
80,Mobile Suit Gundam,"Action, Military, Sci-Fi, Space, Mecha",TV,PG-13 - Teens 13 or older,1427
81,Mobile Suit Gundam: The 08th MS Team,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,PG-13 - Teens 13 or older,1948
82,Mobile Suit Gundam 0080: War in the Pocket,"Military, Sci-Fi, Space, Drama, Mecha",OVA,PG-13 - Teens 13 or older,2444
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,PG-13 - Teens 13 or older,4660
84,Mobile Suit Gundam 0083: Stardust Memory,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,PG-13 - Teens 13 or older,2791
85,Mobile Suit Zeta Gundam,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,PG-13 - Teens 13 or older,2159
86,Mobile Suit Gundam ZZ,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,PG-13 - Teens 13 or older,2941
87,Mobile Suit Gundam: Char's Counterattack,"Military, Sci-Fi, Space, Drama, Mecha",Movie,PG-13 - Teens 13 or older,2773
88,Mobile Suit Gundam F91,"Drama, Mecha, Military, Sci-Fi, Space",Movie,PG-13 - Teens 13 or older,3387
89,Mobile Suit Victory Gundam,"Drama, Mecha, Military, Sci-Fi, Space",TV,PG-13 - Teens 13 or older,3588
90,Mobile Suit Gundam Wing,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,PG-13 - Teens 13 or older,1118
91,Mobile Suit Gundam Wing: Endless Waltz,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,PG-13 - Teens 13 or older,2512
92,After War Gundam X,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,PG-13 - Teens 13 or older,3043
93,Mobile Suit Gundam SEED,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,R - 17+ (violence & profanity),1057
94,Mobile Suit Gundam SEED Destiny,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,R - 17+ (violence & profanity),1530
95,Turn A Gundam,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,PG-13 - Teens 13 or older,2714
96,Mobile Fighter G Gundam,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,PG-13 - Teens 13 or older,2109
97,Last Exile,"Action, Sci-Fi, Adventure",TV,PG-13 - Teens 13 or older,995
98,Mai-HiME,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,PG-13 - Teens 13 or older,1381
99,Mai-Otome,"Comedy, Drama, Fantasy, Magic",TV,PG-13 - Teens 13 or older,2370
100,Shin Shirayuki-hime Densetsu Prétear,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,PG-13 - Teens 13 or older,2162
101,Air,"Slice of Life, Supernatural, Drama, Romance",TV,PG-13 - Teens 13 or older,563
102,Aishiteruze Baby★★,"Comedy, Drama, Romance, Shoujo",TV,PG-13 - Teens 13 or older,1529
103,Akazukin Chacha,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,G - All Ages,4551
104,Ayashi no Ceres,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,R - 17+ (violence & profanity),2182
105,Boys Be...,"Slice of Life, Comedy, Romance, Shounen",TV,PG-13 - Teens 13 or older,3665
106,Hana yori Dango,"Drama, Romance, School, Shoujo",TV,PG-13 - Teens 13 or older,2293
107,Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,PG-13 - Teens 13 or older,2817
108,Ou Dorobou Jing in Seventh Heaven,"Adventure, Fantasy, Psychological, Comedy, Shounen",OVA,PG-13 - Teens 13 or older,4619
109,Bakuretsu Tenshi,"Adventure, Comedy, Mecha, Sci-Fi",TV,PG-13 - Teens 13 or older,1965
110,Chuuka Ichiban!,"Action, Comedy, Drama, Shounen",TV,PG-13 - Teens 13 or older,4086
111,Corrector Yui,"Sci-Fi, Adventure, Comedy, Magic",TV,PG - Children,4519
112,Chou Henshin Cosprayers,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",TV,PG-13 - Teens 13 or older,5542
113,Uchuu no Stellvia,"Action, Mecha, Romance, Sci-Fi, Space",TV,PG-13 - Teens 13 or older,3577
114,Sakigake!! Cromartie Koukou,"Comedy, School, Shounen",TV,PG-13 - Teens 13 or older,1279
115,El Hazard: The Alternative World,"Adventure, Comedy, Fantasy",TV,PG-13 - Teens 13 or older,4961
116,El Hazard: The Wanderers,"Adventure, Comedy, Romance, Fantasy",TV,PG-13 - Teens 13 or older,4198
117,El Hazard: The Magnificent World,"Adventure, Comedy, Romance, Fantasy",OVA,PG-13 - Teens 13 or older,4129
118,El Hazard 2: The Magnificent World,"Adventure, Comedy, Fantasy",OVA,PG-13 - Teens 13 or older,5421
119,Final Approach,"Comedy, Drama, Romance, Slice of Life",TV,PG-13 - Teens 13 or older,2887
120,Fruits Basket,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,PG-13 - Teens 13 or older,314
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,PG-13 - Teens 13 or older,52
122,Full Moon wo Sagashite,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,PG-13 - Teens 13 or older,1519
123,Fushigi Yuugi,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,PG-13 - Teens 13 or older,1434
124,Fushigi Yuugi: Eikouden,"Adventure, Fantasy, Romance, Drama, Shoujo",OVA,PG-13 - Teens 13 or older,4101
125,Futakoi,"Comedy, Romance, School",TV,PG-13 - Teens 13 or older,2900
126,Futakoi Alternative,"Comedy, Drama, Romance",TV,PG-13 - Teens 13 or older,3071
127,Gate Keepers,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,PG-13 - Teens 13 or older,3717
128,Gate Keepers 21,"Action, Drama, Mecha, Sci-Fi, Shounen",OVA,PG-13 - Teens 13 or older,5026
129,Gensoumaden Saiyuuki,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,R - 17+ (violence & profanity),2359
130,Saiyuuki Reload,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,PG-13 - Teens 13 or older,3071
131,Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,PG-13 - Teens 13 or older,3724
132,GetBackers,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,PG-13 - Teens 13 or older,1339
133,Green Green,"Comedy, Ecchi, Romance, School, Slice of Life",TV,R+ - Mild Nudity,1333
134,Gunslinger Girl,"Action, Psychological, Military, Drama, Sci-Fi",TV,R - 17+ (violence & profanity),920
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",TV,PG-13 - Teens 13 or older,1287
136,Hunter x Hunter,"Action, Adventure, Super Power, Fantasy, Shounen",TV,PG-13 - Teens 13 or older,319
137,Hunter x Hunter: Original Video Animation,"Action, Adventure, Super Power, Shounen",OVA,PG-13 - Teens 13 or older,1375
138,Hunter x Hunter: Greed Island,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,PG-13 - Teens 13 or older,1244
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,PG-13 - Teens 13 or older,1288
141,Jinki:Extend,"Mecha, Sci-Fi",TV,R - 17+ (violence & profanity),4923
142,Kamikaze Kaitou Jeanne,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",TV,PG-13 - Teens 13 or older,2363
143,Kannazuki no Miko,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",TV,PG-13 - Teens 13 or older,2000
144,Kanon,"Drama, Romance, Slice of Life, Supernatural",TV,G - All Ages,2105
145,Kareshi Kanojo no Jijou,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,PG-13 - Teens 13 or older,875
146,Kono Minikuku mo Utsukushii Sekai,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",TV,R+ - Mild Nudity,2145
147,Kimi ga Nozomu Eien,"Drama, Romance, Slice of Life",TV,R+ - Mild Nudity,1187
148,Kita e.: Diamond Dust Drops,"Drama, Romance, Slice of Life",TV,PG-13 - Teens 13 or older,5411
149,Loveless,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",TV,PG-13 - Teens 13 or older,1215
150,Blood+,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",TV,R - 17+ (violence & profanity),431
151,Re: Cutey Honey,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",OVA,R+ - Mild Nudity,3430
152,Solty Rei,"Action, Sci-Fi, Super Power",TV,R - 17+ (violence & profanity),3233
153,Juuni Kokuki,"Action, Adventure, Fantasy, Magic, Supernatural",TV,PG-13 - Teens 13 or older,1266
154,Shaman King,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",TV,PG-13 - Teens 13 or older,477
155,X/1999,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural",Movie,R - 17+ (violence & profanity),2904
156,X,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",TV,R+ - Mild Nudity,1818
157,Mahou Sensei Negima!,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",TV,PG-13 - Teens 13 or older,1208
158,Maria-sama ga Miteru,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",TV,PG-13 - Teens 13 or older,2170
159,Boukyaku no Senritsu,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",TV,PG-13 - Teens 13 or older,3975
160,"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Military, Sci-Fi",TV,R - 17+ (violence & profanity),1309
161,Peace Maker Kurogane,"Action, Comedy, Historical, Samurai, Shounen",TV,R - 17+ (violence & profanity),2251
162,Pita Ten,"Comedy, Fantasy, Kids, Romance, School, Shounen",TV,G - All Ages,3626
163,Power Stone,"Adventure, Comedy, Fantasy, Historical, Shounen",TV,PG - Children,5874
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,PG-13 - Teens 13 or older,91
165,RahXephon,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",TV,PG-13 - Teens 13 or older,1395
166,Samurai 7,"Historical, Mecha, Samurai, Sci-Fi",TV,PG-13 - Teens 13 or older,1295
167,Scrapped Princess,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",TV,PG-13 - Teens 13 or older,1637
168,s.CRY.ed,"Action, Sci-Fi, Adventure, Super Power, Drama",TV,PG-13 - Teens 13 or older,1787
169,Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",TV,R - 17+ (violence & profanity),1086
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,PG-13 - Teens 13 or older,728
171,Strange Dawn,"Adventure, Drama, Fantasy",TV,PG - Children,7014
173,Tactics,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",TV,PG-13 - Teens 13 or older,2670
174,Tenjou Tenge,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",TV,R - 17+ (violence & profanity),934
175,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",TV,PG-13 - Teens 13 or older,3254
176,Triangle Heart: Sweet Songs Forever,"Adventure, Romance",OVA,PG-13 - Teens 13 or older,5991
177,Tsubasa Chronicle,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",TV,PG-13 - Teens 13 or older,759
178,Ultra Maniac,"Comedy, Magic, Romance, School, Shoujo",TV,G - All Ages,3103
179,Ultra Maniac OVA,"Comedy, Magic, Romance, School",OVA,G - All Ages,6509
180,Vandread,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,PG-13 - Teens 13 or older,1771
181,Vandread: The Second Stage,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,PG-13 - Teens 13 or older,2326
182,Tenkuu no Escaflowne,"Adventure, Psychological, Romance, Fantasy, Mecha",TV,PG-13 - Teens 13 or older,1157
183,Whistle!,"School, Shounen, Sports",TV,G - All Ages,4545
184,Xenosaga The Animation,"Action, Mecha, Sci-Fi, Shounen, Space",TV,PG-13 - Teens 13 or older,3838
185,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports",TV,PG-13 - Teens 13 or older,638
186,Initial D Second Stage,"Action, Cars, Drama, Seinen, Sports",TV,PG-13 - Teens 13 or older,1095
187,Initial D Third Stage,"Action, Cars, Sports, Drama, Romance, Seinen",Movie,PG-13 - Teens 13 or older,1270
188,Gosenzo San'e,"Comedy, Hentai, Mystery, Supernatural",OVA,Rx - Hentai,8469
189,Love Hina,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",TV,PG-13 - Teens 13 or older,645
190,Love Hina Again,"Comedy, Drama, Ecchi, Romance, Shounen",OVA,PG-13 - Teens 13 or older,1715
191,Love Hina Christmas Special: Silent Eve,"Slice of Life, Comedy, Romance",Special,PG-13 - Teens 13 or older,2177
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"Adventure, Comedy, Romance",Special,PG-13 - Teens 13 or older,2307
193,Maburaho,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School",TV,R+ - Mild Nudity,1583
194,Macross Zero,"Adventure, Mecha, Military, Sci-Fi, Shounen",OVA,R+ - Mild Nudity,2809
195,Onegai☆Teacher,"Sci-Fi, Comedy, Drama, Romance, School",TV,PG-13 - Teens 13 or older,1008
196,Onegai☆Twins,"Comedy, Drama, Harem, School, Sci-Fi",TV,PG-13 - Teens 13 or older,1699
197,Rizelmine,"Sci-Fi, Comedy, Romance, Ecchi, School",TV,R+ - Mild Nudity,3495
198,Speed Grapher,"Action, Mystery, Super Power",TV,R+ - Mild Nudity,1458
199,Sen to Chihiro no Kamikakushi,"Adventure, Supernatural, Drama",Movie,PG - Children,41
200,Tenshi na Konamaiki,"Comedy, Magic, Romance, Shounen",TV,PG-13 - Teens 13 or older,3426
201,Video Girl Ai,"Comedy, Drama, Ecchi, Romance",OVA,R+ - Mild Nudity,3409
202,Wolf's Rain,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",TV,PG-13 - Teens 13 or older,528
203,Words Worth,"Adventure, Hentai, Demons, Magic, Fantasy",OVA,Rx - Hentai,5518
204,Yumeria,"Action, Comedy, Ecchi, Harem, Super Power",TV,PG-13 - Teens 13 or older,3283
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,R - 17+ (violence & profanity),86
206,Lodoss-tou Senki: Eiyuu Kishi Den,"Action, Adventure, Drama, Magic, Romance, Fantasy",TV,PG-13 - Teens 13 or older,3255
207,Lodoss-tou Senki,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural",OVA,R - 17+ (violence & profanity),2236
208,R.O.D: Read or Die,"Action, Sci-Fi, Adventure, Mystery, Historical, Magic",OVA,PG-13 - Teens 13 or older,2075
209,R.O.D: The TV,"Action, Sci-Fi, Adventure, Comedy, Super Power, Drama",TV,PG-13 - Teens 13 or older,1971
210,Ranma ½,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen",TV,R+ - Mild Nudity,767
211,Pure Mail,Hentai,OVA,Rx - Hentai,7731
212,Project A-Ko,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power",Movie,PG-13 - Teens 13 or older,4227
213,Pia Carrot e Youkoso!!,"Comedy, Romance, Hentai",OVA,Rx - Hentai,7767
214,Pia Carrot e Youkoso!! 2,"Comedy, Romance, Hentai",OVA,Rx - Hentai,8715
215,Pia Carrot e Youkoso!! 2 DX,"Comedy, Romance",OVA,PG-13 - Teens 13 or older,8682
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,"Comedy, Romance",Movie,PG-13 - Teens 13 or older,8347
217,Shin Angel,"Comedy, Drama, Hentai, Romance",OVA,Rx - Hentai,8362
218,Kidou Senkan Nadesico,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space",TV,PG-13 - Teens 13 or older,2424
219,Kidou Senkan Nadesico: The Prince of Darkness,"Action, Comedy, Drama, Mecha, Psychological, Sci-Fi, Shounen, Space",Movie,R - 17+ (violence & profanity),4347
220,Kuro no Danshou,"Hentai, Horror",OVA,Rx - Hentai,8552
221,Mezzo Forte,"Action, Comedy, Hentai, Sci-Fi",OVA,Rx - Hentai,3299
222,Mezzo DSA,"Action, Adventure, Comedy, Mystery, Sci-Fi",TV,R+ - Mild Nudity,3924
223,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,PG-13 - Teens 13 or older,120
225,Dragon Ball GT,"Action, Sci-Fi, Adventure, Comedy, Super Power, Magic, Fantasy, Shounen",TV,PG-13 - Teens 13 or older,262
226,Elfen Lied,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen",TV,R+ - Mild Nudity,49
227,FLCL,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha",OVA,PG-13 - Teens 13 or older,171
228,Jigoku Shoujo,"Mystery, Horror, Psychological, Supernatural",TV,R - 17+ (violence & profanity),490
229,Ninin ga Shinobuden,"Comedy, Parody, Martial Arts",TV,R - 17+ (violence & profanity),2957
230,Air Master,"Action, Comedy, Martial Arts, Seinen",TV,R - 17+ (violence & profanity),2829
231,Asagiri no Miko,"Action, Comedy, Supernatural, Fantasy, Seinen",TV,PG - Children,5793
232,Cardcaptor Sakura,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo",TV,PG - Children,405
233,Daa! Daa! Daa!,"Comedy, Sci-Fi, Shoujo",TV,G - All Ages,3651
234,Dan Doh!!,"Adventure, Sports, Shounen",TV,G - All Ages,7451
235,Detective Conan,"Adventure, Mystery, Comedy, Police, Shounen",TV,PG-13 - Teens 13 or older,580
236,E's Otherwise,"Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural",TV,PG-13 - Teens 13 or older,4193
237,Koukyoushihen Eureka Seven,"Adventure, Drama, Mecha, Romance, Sci-Fi",TV,PG-13 - Teens 13 or older,351
238,Rekka no Honoo,"Action, Adventure, Martial Arts, Shounen, Super Power",TV,PG-13 - Teens 13 or older,2139
239,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,R - 17+ (violence & profanity),767
240,Genshiken,"Slice of Life, Comedy, Parody",TV,PG-13 - Teens 13 or older,976
241,Girls Bravo: First Season,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen",TV,R+ - Mild Nudity,1194
242,Gokusen,"Slice of Life, Comedy, Drama, School, Josei",TV,R - 17+ (violence & profanity),2742
243,Gravitation,"Comedy, Music, Romance, Shoujo, Shounen Ai",TV,PG-13 - Teens 13 or older,1391
244,Agatha Christie no Meitantei Poirot to Marple,"Historical, Mystery",TV,G - All Ages,5915
245,Great Teacher Onizuka,"Slice of Life, Comedy, Drama, School, Shounen",TV,R - 17+ (violence & profanity),184
246,Groove Adventure Rave,"Adventure, Comedy, Fantasy, Romance, Shounen",TV,PG-13 - Teens 13 or older,1600
247,Harukanaru Toki no Naka de: Hachiyou Shou,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo",TV,PG-13 - Teens 13 or older,3581
248,Ichigo 100%,"Comedy, Ecchi, Harem, Romance, Shounen",TV,PG-13 - Teens 13 or older,1440
249,InuYasha,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",TV,PG-13 - Teens 13 or older,187
250,Konjiki no Gash Bell!!,"Adventure, Comedy, Demons, Supernatural, Magic, Shounen",TV,PG-13 - Teens 13 or older,1417
251,Kyou kara Maou!,"Adventure, Comedy, Demons, Fantasy, Shoujo",TV,PG-13 - Teens 13 or older,1513
252,Madlax,"Military, Mystery, Psychological, Supernatural, Drama, Magic, Shounen",TV,PG-13 - Teens 13 or older,2720
253,Jungle wa Itsumo Hare nochi Guu,"Slice of Life, Comedy, School",TV,PG-13 - Teens 13 or older,2987
254,Jungle wa Itsumo Hare nochi Guu Deluxe,"Comedy, Slice of Life",OVA,PG-13 - Teens 13 or older,4696
255,Jungle wa Itsumo Hare nochi Guu Final,"Slice of Life, Comedy",OVA,PG-13 - Teens 13 or older,5078
256,Hoshi no Koe,"Sci-Fi, Space, Drama, Romance, Mecha",OVA,PG-13 - Teens 13 or older,1122
257,Ikkitousen,"Ecchi, Super Power, Martial Arts, School",TV,R+ - Mild Nudity,1118
